"QNr","Qname","Skname","Jahr","Anz_BP_SQ","Anz_Kinder_VA","Belegungsfaktor","Versorgungsquote"
111,"Affoltern","Glattal",2015,353.5,1723.2,1.75,0.3589977948
111,"Affoltern","Glattal",2014,353.5,1716.5,1.72,0.3542207981
111,"Affoltern","Glattal",2016,353.5,1734.1,1.75,0.3567412491
111,"Affoltern","Glattal",2017,364.5,1740.3,1.77,0.3707205654
91,"Albisrieden","Letzi",2016,533,1328.6,1.75,0.7020547945
91,"Albisrieden","Letzi",2017,601,1492.3,1.77,0.7128392414
91,"Albisrieden","Letzi",2015,437.5,1202.7,1.75,0.6365885092
91,"Albisrieden","Letzi",2014,424.5,1230.2,1.72,0.5935132499
31,"Alt-Wiedikon","Uto",2014,736.5,1023.2,1.72,1.2380570758
31,"Alt-Wiedikon","Uto",2015,756,1060.2,1.75,1.2478777589
31,"Alt-Wiedikon","Uto",2016,799.5,1051.3,1.75,1.3308522781
31,"Alt-Wiedikon","Uto",2017,809.5,1066.2,1.77,1.3438519977
92,"Altstetten","Letzi",2014,603,1653.4,1.72,0.6272892222
92,"Altstetten","Letzi",2017,653,1647.5,1.77,0.7015538695
92,"Altstetten","Letzi",2015,615,1669.5,1.75,0.6446540881
92,"Altstetten","Letzi",2016,620.5,1674.8,1.75,0.6483609983
14,"City","Zürichberg",2015,155.5,36.1,1.75,7.5380886427
14,"City","Zürichberg",2014,155.5,35.2,1.72,7.5982954545
14,"City","Zürichberg",2016,193,31.3,1.75,10.790734824
14,"City","Zürichberg",2017,277,39.8,1.77,12.318844221
24,"Enge","Uto",2014,237,563.4,1.72,0.7235356763
24,"Enge","Uto",2016,202,582.7,1.75,0.606658658
24,"Enge","Uto",2015,225,604,1.75,0.6519039735
24,"Enge","Uto",2017,202,607.3,1.77,0.5887370328
52,"Escher Wyss","Limmattal",2015,340.5,281.8,1.75,2.1145315827
52,"Escher Wyss","Limmattal",2016,341.5,316.6,1.75,1.8876342388
52,"Escher Wyss","Limmattal",2014,335,237.6,1.72,2.4250841751
52,"Escher Wyss","Limmattal",2017,384.5,366.5,1.77,1.8569304229
71,"Fluntern","Zürichberg",2017,192,430.1,1.77,0.7901418275
71,"Fluntern","Zürichberg",2015,195,409.4,1.75,0.8335368832
71,"Fluntern","Zürichberg",2016,203,419.7,1.75,0.8464379319
71,"Fluntern","Zürichberg",2014,157,410.4,1.72,0.6579922027
33,"Friesenberg","Uto",2015,149.5,692.9,1.75,0.3775797373
33,"Friesenberg","Uto",2014,140,706,1.72,0.3410764873
33,"Friesenberg","Uto",2016,149.5,714,1.75,0.3664215686
33,"Friesenberg","Uto",2017,150.5,721.2,1.77,0.3693635607
51,"Gewerbeschule","Limmattal",2014,108.5,421.3,1.72,0.4429622597
51,"Gewerbeschule","Limmattal",2017,108.5,411.1,1.77,0.4671491121
51,"Gewerbeschule","Limmattal",2016,108.5,419.7,1.75,0.4524064808
51,"Gewerbeschule","Limmattal",2015,108.5,425.4,1.75,0.4463446168
44,"Hard","Limmattal",2014,246.5,599,1.72,0.7078130217
44,"Hard","Limmattal",2017,290,590.2,1.77,0.8697051847
44,"Hard","Limmattal",2015,270,600.2,1.75,0.7872375875
44,"Hard","Limmattal",2016,240,590.9,1.75,0.7107801658
73,"Hirslanden","Zürichberg",2014,223,409.6,1.72,0.9364257813
73,"Hirslanden","Zürichberg",2015,212.5,396.9,1.75,0.9369488536
73,"Hirslanden","Zürichberg",2016,212.5,373.7,1.75,0.9951164035
73,"Hirslanden","Zürichberg",2017,247,405.1,1.77,1.0792150086
123,"Hirzenbach","Schwamendingen",2014,91.5,665.9,1.72,0.2363417931
123,"Hirzenbach","Schwamendingen",2017,189,813.2,1.77,0.4113748155
123,"Hirzenbach","Schwamendingen",2015,91.5,708.4,1.75,0.2260375494
123,"Hirzenbach","Schwamendingen",2016,136.5,763.7,1.75,0.3127864345
".","Hochschule","Zürichberg",2015,67.5,11.7,1.75,10.096153846
".","Hochschule","Zürichberg",2016,45,9.8,1.75,8.0357142857
12,"Hochschulen","Zürichberg",2014,57.5,13.5,1.72,7.3259259259
12,"Hochschulen","Zürichberg",2017,39,15.3,1.77,4.5117647059
72,"Hottingen","Zürichberg",2015,294,596,1.75,0.8632550336
72,"Hottingen","Zürichberg",2016,389.5,620.7,1.75,1.0981553085
72,"Hottingen","Zürichberg",2014,235,547,1.72,0.7389396709
72,"Hottingen","Zürichberg",2017,382,614.6,1.77,1.100130166
101,"Höngg","Waidberg",2017,398,1404.3,1.77,0.5016449477
101,"Höngg","Waidberg",2015,286.5,1320.3,1.75,0.3797432402
